station_name,station_code,state_name,day,std_min,lat,lng,stop,platform_number,food_available,hotel_available,hospital_available
CHARKHERA,CRK,MADHYA PRADESH,2,2831,22.366983,77.170887,False,0,False,False,False
HARDA,HD,MADHYA PRADESH,2,2838,22.338724,77.10115,True,3,False,True,True
PALASNER,PAL,MADHYA PRADESH,2,2845,22.304066,77.049994,False,0,False,False,False
MASANGAON,MUO,MADHYA PRADESH,2,2851,22.273053,77.005577,False,0,False,False,False
BHIRINGI,BRI,MADHYA PRADESH,2,2856,22.227932,76.941204,False,0,False,False,False
KURAWAN,KRO,MADHYA PRADESH,2,2862,22.191538,76.888676,False,0,False,False,False
KHIRKIYA,KKN,MADHYA PRADESH,2,2868,22.166104,76.859107,False,0,False,False,False
DAGARHKERI,DRHI,MADHYA PRADESH,2,2878,22.0816632116,76.8267917633,False,0,False,False,False
BARUD,BRUD,MADHYA PRADESH,3,2887,22.052232,76.814175,False,0,False,False,False
CHHANERA,CAER,MADHYA PRADESH,3,2897,21.963505,76.707315,False,0,False,False,False
CHARKHERA KHURD,CKKD,MADHYA PRADESH,3,2904,21.938906,76.642685,False,0,False,False,False
SURGAON BANJARI,SGBJ,MADHYA PRADESH,3,2914,21.946389,76.544495,False,0,False,False,False
TALVADYA,TLV,MADHYA PRADESH,3,2925,21.9277590641,76.4442443848,False,0,False,True,False
MATHELA,MTA,MADHYA PRADESH,3,2933,21.8804561555,76.390171051,False,0,False,True,False
KHANDWA,KNW,MADHYA PRADESH,3,2945,21.823676,76.353307,True,1,False,True,True
KHANDWA YARD,KNWX,,3,2946,,,False,0,False,False,False
BARGAON GUJAR,BRGJ,MADHYA PRADESH,3,2949,21.7845280856,76.3558387756,False,0,False,True,False
BAGMAR,BMA,MADHYA PRADESH,3,2954,21.7368588607,76.3613319397,False,0,False,False,False
KOHDAD,KDK,MADHYA PRADESH,3,2957,21.7022528941,76.36510849,False,0,False,False,False
DONGARGAON,DGN,MADHYA PRADESH,3,2963,21.641154,76.363907,False,0,False,False,False
SAGPHATA,SXA,MADHYA PRADESH,3,2970,21.574123,76.392231,False,0,False,False,False
MANDWA,MWA,MADHYA PRADESH,3,2974,21.517601,76.390171,False,0,False,True,False
NEPANAGAR,NPNR,MADHYA PRADESH,3,2980,21.463853,76.396952,True,2,False,True,True
CHANDNI,CDI,MADHYA PRADESH,3,2986,21.427024,76.350517,False,0,False,True,False
ASIRGARH ROAD,AGQ,MADHYA PRADESH,3,2996,21.377958,76.267605,False,0,False,False,False
BURHANPUR,BAU,MADHYA PRADESH,3,3005,21.3342676,76.1985487,True,1,False,True,True
WAGHODA,WGA,MAHARASHTRA,3,3013,21.256102,76.088905,False,0,False,True,False
RAVER,RV,MAHARASHTRA,3,3022,21.222181,76.044574,False,0,False,False,True
NIMBHORA,NB,MAHARASHTRA,3,3030,21.161161,75.975566,False,0,False,True,True
SAVDA,SAV,MAHARASHTRA,3,3037,21.111006,75.910549,False,0,False,True,True
DUSKHEDA,DSK,MAHARASHTRA,3,3044,21.073248,75.838623,False,0,False,True,False
BHUSAWAL B CABIN,BSBN,MAHARASHTRA,3,3046,21.049579,75.822118,False,0,False,True,False
BHUSAVAL GOODS YARD,BSGS,,3,3048,,,False,0,False,False,False
BHUSAVAL YARD,BSLX,,3,3049,,,False,0,False,False,False
BHUSAVAL JN,BSL,MAHARASHTRA,3,3060,21.0469912,75.7883817,True,1,False,True,True
BHADLI,BDI,MAHARASHTRA,3,3073,21.0234632507,75.672712326,False,0,False,False,False
TARSOD,TRW,MAHARASHTRA,3,3077,21.025787,75.633445,False,0,False,True,False
JALGAON JN,JL,MAHARASHTRA,3,3085,21.018175,75.562935,True,2,False,True,True
SHIRSOLI,SS,MAHARASHTRA,3,3092,20.933384,75.508003,False,0,False,False,False
MHASAVAD,MWD,MAHARASHTRA,3,3098,20.870761921,75.4588222504,False,0,False,False,True
